11238016,0
11238062,1A
9796975,0
11238211,1B
11238357,1B
11238090,1B
10752061,0
10752130,2B
10789301,0
11300516,0
10751949,2B
10751974,2B
11224139,3A
10818394,0
11224866,3A
11224341,3B
11225001,3B
11224272,3B
9298764,4A
10751995,4A
8603403,0
10844212,4B
10728247,4B
11322772,4B
11237975,5A
10751831,0
10390245,5A
10830311,5B
10430788,0
11238083,5B
11237961,6A
11221626,6A
11237933,0
11238152,0
11238058,6B
11367491,6B
11238274,0
10739819,7A
11221414,7A
11238037,7B
11238228,7B
11373199,7B
11224362,8A
1010101,0
11224230,8A
11224150,8B
11224438,0
10882511,8B
11238020,9A
10751845,0
11238041,0
11224682,10A
1744332,10A
10693980,0
11322768,1A
11224143,0
11224640,0
11276983,0
11224164,0
8124830,0
11224737,0
9797444,0
10789295,12A
10300661,0
11224911,0
11224852,0
